,trip_date,city,trip_count
670,2017-10-12,sf,3584
671,2017-10-12,boston,6129
672,2017-10-12,nyc,62485
673,2017-10-13,boston,6022
674,2017-10-13,nyc,68355
675,2017-10-13,sf,3379
676,2017-10-14,boston,3689
677,2017-10-14,sf,2200
678,2017-10-14,nyc,59671
679,2017-10-15,nyc,57411
680,2017-10-15,boston,4252
681,2017-10-15,sf,2160
682,2017-10-16,sf,4070
683,2017-10-16,nyc,62971
684,2017-10-16,boston,5426
685,2017-10-17,boston,5570
686,2017-10-17,nyc,65711
687,2017-10-17,sf,3985
688,2017-10-18,sf,3879
689,2017-10-18,nyc,71558
690,2017-10-18,boston,6248
691,2017-10-19,sf,3781
692,2017-10-19,boston,6493
693,2017-10-19,nyc,73604
694,2017-10-20,boston,6684
695,2017-10-20,sf,3607
696,2017-10-20,nyc,73519
697,2017-10-21,sf,2538
698,2017-10-21,nyc,66886
699,2017-10-21,boston,6048
700,2017-10-22,boston,5537
701,2017-10-22,nyc,63114
702,2017-10-22,sf,2268
703,2017-10-23,boston,6042
704,2017-10-23,nyc,70523
705,2017-10-23,sf,4356
706,2017-10-24,boston,5625
707,2017-10-24,nyc,49012
708,2017-10-24,sf,4473
709,2017-10-25,boston,3166
710,2017-10-25,sf,4340
711,2017-10-25,nyc,72535
712,2017-10-26,nyc,65105
713,2017-10-26,sf,4682
714,2017-10-26,boston,3730
715,2017-10-27,sf,4215
716,2017-10-27,boston,5498
717,2017-10-27,nyc,70412
718,2017-10-28,nyc,62322
719,2017-10-28,sf,2312
720,2017-10-28,boston,4610
721,2017-10-29,sf,1662
722,2017-10-29,nyc,9731
723,2017-10-29,boston,2369
724,2017-10-30,nyc,50197
725,2017-10-30,boston,4567
726,2017-10-30,sf,3946
727,2017-10-31,nyc,61369
728,2017-10-31,sf,4209
729,2017-10-31,boston,5422
730,2017-11-01,boston,5439
731,2017-11-01,nyc,61898
732,2017-11-01,sf,4259
733,2017-11-02,nyc,72093
734,2017-11-02,sf,4299
735,2017-11-02,boston,5970
736,2017-11-03,boston,5831
737,2017-11-03,sf,3687
738,2017-11-03,nyc,72972
739,2017-11-04,nyc,54243
740,2017-11-04,boston,4641
741,2017-11-04,sf,2076
742,2017-11-05,boston,3748
743,2017-11-05,sf,2057
744,2017-11-05,nyc,35515
745,2017-11-06,boston,4482
746,2017-11-06,sf,4205
747,2017-11-06,nyc,58643
748,2017-11-07,nyc,37018
749,2017-11-07,sf,4528
750,2017-11-07,boston,4630
751,2017-11-08,nyc,55257
752,2017-11-08,boston,4623
753,2017-11-08,sf,4106
754,2017-11-09,nyc,59434
755,2017-11-09,boston,4800
756,2017-11-09,sf,4367
757,2017-11-10,sf,3524
758,2017-11-10,boston,3008
759,2017-11-10,nyc,39196
760,2017-11-11,boston,1985
761,2017-11-11,nyc,28595
762,2017-11-11,sf,2428
763,2017-11-12,boston,2294
764,2017-11-12,nyc,32957
765,2017-11-12,sf,2075
766,2017-11-13,sf,3780
767,2017-11-13,nyc,39500
768,2017-11-13,boston,2884
769,2017-11-14,nyc,53212
770,2017-11-14,boston,4138
771,2017-11-14,sf,4487
772,2017-11-15,sf,3541
773,2017-11-15,nyc,55209
774,2017-11-15,boston,4434
775,2017-11-16,boston,3259
776,2017-11-16,sf,1961
777,2017-11-16,nyc,50638
778,2017-11-17,sf,3878
779,2017-11-17,nyc,49846
780,2017-11-17,boston,3930
781,2017-11-18,boston,2200
782,2017-11-18,sf,1962
783,2017-11-18,nyc,28214
784,2017-11-19,boston,1788
785,2017-11-19,sf,1891
786,2017-11-19,nyc,32051
787,2017-11-20,sf,4049
788,2017-11-20,nyc,45968
789,2017-11-20,boston,3663
790,2017-11-21,nyc,53383
791,2017-11-21,sf,3871
792,2017-11-21,boston,4478
793,2017-11-22,boston,1231
794,2017-11-22,sf,2859
795,2017-11-22,nyc,32983
796,2017-11-23,boston,1055
797,2017-11-23,nyc,13985
798,2017-11-23,sf,1186
799,2017-11-24,boston,1819
800,2017-11-24,sf,1577
801,2017-11-24,nyc,24171
802,2017-11-25,sf,1736
803,2017-11-25,nyc,30956
804,2017-11-25,boston,2466
805,2017-11-26,sf,693
806,2017-11-26,boston,1739
807,2017-11-26,nyc,27675
808,2017-11-27,boston,3578
809,2017-11-27,nyc,47633
810,2017-11-27,sf,3774
811,2017-11-28,nyc,52080
812,2017-11-28,boston,3554
813,2017-11-28,sf,4221
814,2017-11-29,nyc,56245
815,2017-11-29,boston,4131
816,2017-11-29,sf,4270
817,2017-11-30,boston,3665
818,2017-11-30,nyc,52661
819,2017-11-30,sf,4265
820,2017-12-01,nyc,51706
821,2017-12-01,boston,3748
822,2017-12-01,sf,4124
823,2017-12-02,boston,2175
824,2017-12-02,nyc,39538
825,2017-12-02,sf,2099
826,2017-12-03,boston,1999
827,2017-12-03,nyc,34264
828,2017-12-03,sf,1899
829,2017-12-04,sf,4082
830,2017-12-04,boston,3589
831,2017-12-04,nyc,50532
832,2017-12-05,nyc,42494
833,2017-12-05,boston,3282
834,2017-12-05,sf,4338
835,2017-12-06,nyc,47172
836,2017-12-06,boston,3703
